('01001211', 'Paradigm in Agricultural Extension')
('02049591', 'Research Methods in Plant Breeding')
('02049596', 'Selected Topics in Plant Breeding')
('02049597', 'Seminar')
('02049599', 'Thesis')
('02049691', 'Advanced Research Methods in Plant Breeding')
('02049697', 'Seminar')
('02049699', 'Thesis')
('02050531', 'Environmental Soil Chemistry')
('02050532', 'Plant Nutrients in Agricultural Ecosystem')
('02050535', 'Waste Management for Crop Production')
('02050553', 'Nitrogen Fixation Processes')
('02050571', 'Soil Quality & Erosion')
('02050599', 'Thesis')
('02053691', 'Advanced Research Methods in Agri. Sci. I')
('02053692', 'Advanced Research Methods in Agri. Sci. II')
('02053697', 'Seminar')
('02053699', 'Thesis')
('02160314', 'Learning Manag.for Develop.Thinking Skills')
('02161361', 'Integra.Field Exper.Profess.Teach.Learn Man.')
('02161461', 'Integra.Field Exper.Pro.Teach.Res.Curri.Deve.')
('02161562', 'In.Field Exper.Pro.Teach.Teach.Prac.School II')
('02162211', 'Basic Mathematics in Learning Management I')
('02162212', 'Mathemmatics and Mathematical Process skill')
('02162321', 'Mathematics Education Project')
('02162323', 'Teaching Principle in Mathematics II')
('02162331', 'Computer for Mathematics Learning Management')
('02162422', 'Mathematics & Problem Solving')
('02162491', 'Classroom Research in Mathematics Education')
('02163121', 'Language Acquisition and Learning')
('02163323', 'Tech.Strategies Assess.Eng.Learn.Manag.I')
('02163471', 'Experiential English Project')
('02163491', 'Classroom Action Research in English')
('02163496', 'Selected Topics in English Learning Manag.')
('02164211', 'Basic Science Teaching Lab. for Elemen. Level')
('02164311', 'Scientific Thinking and Communication')
('02164351', 'Assessment & Evaluation of Science Learning')
('02164421', 'Science Teaching I')
('02164491', 'Research Develop.Innovation Science Learn.')
('02164497', 'Seminar in Science Education')
('02170111', 'Human Anatomy and Physiology')
('02170112', 'Philosophy of Health Educa.& Health Behavior')
('02170115', 'Communicable & Non-communicable Diseases')
('02170121', 'Skills and Techniques of Teaching Soccer')
('02170122', 'Skills & Techniques of Teaching Table Tennis')
('02170125', 'Skills and Techniques of Teaching Tracks')
('02170126', 'Skills and Techniques of Teaching Gymnastics')
('02170171', 'Camping Management in Physical Education')
('02170221', 'Skills & Techniques of Teaching Rhythmic Act.')
('02170222', 'Skills and Teachniques of Teaching Soccer')
('02170229', 'Skills and Teachniques of Teaching Muaythai')
('02170311', 'Learn.Assessment in  Physical & Health Educa.')
('02170314', 'Sex Education & Life Planning')
('02170317', 'Sport Coaching')
('02170321', 'Principle of Health Education Teaching')
('02170323', 'Skills Techinques Teach.Rhythmic Activities')
('02170325', 'Skills & Techniques of Teaching Golf')
('02170326', 'Skills & Techniques of Teaching Social Dance')
('02170341', 'Adminis.& Management of Physical Education')
('02170417', 'Basic Kinesiology')
('02170421', 'Health Communication')
('02170431', 'Application Software for Physical Education')
('02170471', 'Culture Sports')
('02170491', 'Class.Action Res.Physic.Educa.Health Educa.')
('02170497', 'Seminar in Physical Education & Health Educa.')
('02181162', 'Basic skills in Agr & Env Education')
('02181261', 'Field Experience in Agri. & Envi. Ed. I')
('02181262', 'Field Experiences in Agri.& Envi. Ed. II')
('02181331', 'Communication in Agri. & Environmental Ed.')
('02181333', 'Com. Application in Agri. & Enir. Edu.')
('02181351', 'Evaluation of Edu. Provision in Agri. & Envir')
('02181362', 'Field Experiences in Agri.& Envi. Ed. IV')
('02181411', 'Human&Commu.Resources Dev. in Agri.&Envir.Ed.')
('02181422', 'Agri. & Envir. Edu. Provision in Community')
('02181441', 'Planing of Programs & Acti.in Agri.& Envi.Ed.')
('02181471', 'Environmental Management in Community')
('02181481', 'Value and Ethics in Agr. and Env.')
('02181482', 'Consumer Education in Agr. & Env. Dimensions')
('02181483', 'Indigenous Knowledge in Agri. & Environment')
('02181491', 'Research Methods in  Agri. & Envi. Ed.')
('02181496', 'Selected Topics in  Agri. & Environmental Ed.')
('02181497', 'Seminar')
('02181498', 'Special Problems')
('02190544', 'Sociology Human Community Resource Devel.')
('02190551', 'Human Res.Devel.Process in Organ.& Commu.')
('02190592', 'Quantitative Analysis for Research & Devel.')
('02190597', 'Seminar')
('02190599', 'Thesis')
('02190621', 'Edu.Strategies for Hum.& Comm.Capacity Build.')
('02190681', 'Qualitative Research in Organization&Commu.')
('02190697', 'Seminar')
('02190699', 'Thesis')
('02198211', 'Psychology for Teachers')
('02198212', 'Usage of Thai Language and Culture for Teachers')
('02198221', 'Curriculum Development')
('02198231', 'Innovation & Information Technology in Edu.')
('02198321', 'Strategies of Learning Management')
('02198322', 'Management of Learning Resoursces & Env.')
('02198323', 'English for Teachers')
('02198324', 'Learning Management and Classroom Management')
('02198351', 'Measurement in Learning Management')
('02198411', 'Teach.Profession Characteristics Profession.')
('02198441', 'Administration&Education Quality Assurrance')
('02201211', 'Applied Drawing for Agricultural Engineering')
('02201311', 'Theory of Agricultural Machines')
('02201313', 'Inter Combus Engines for Agricultural Systems')
('02201314', 'Fluid Power Control for Agricultural Eng.')
('02201321', 'Heat and Mass Transfer')
('02201322', 'Agricultural Process Engineering')
('02201323', 'Physical Properties of Agricultural Products')
('02201331', 'Measurement and Measuring Instrument')
('02201337', 'Vibration for Agricultural Engineering')
('02201416', 'Fishery Machinery Engineering')
('02201422', 'Agricultural Product Handling Eq.Desig')
('02201423', 'Thermal Processing and Food Freezing')
('02201424', 'Drying & Storage of Agri. Products')
('02201428', 'Rice Mill Engineering')
('02201431', 'Fans, Pumps & Distribution Systems')
('02201432', 'Agricultural Waste Water')
('02201443', 'Renewable Energy for Agriculture')
('02201446', 'Computer Application for Agr. Enginee')
('02201449', 'PLC for Agricultural Engineering')
('02201455', 'Theory of Soil-Machine System')
('02201495', 'Agricultural Engineering Project Preparation')
('02201496', 'Selected Topics in Agricultural Engineering')
('02201497', 'Seminar')
('02201499', 'Agricultural Engineering Project')
('02201517', 'Soil Dinamics in Tillage and Traction')
('02201591', 'Research Methods in Agricultural Engineering')
('02201596', 'Selected Topics in Agricltural Engineering')
('02201597', 'Seminar')
('02201599', 'Thesis')
('02201691', 'Advanced Research Methods in Agr. Eng.')
('02201697', 'Seminar')
('02201698', 'Special Problems')
('02201699', 'Thesis')
('02204101', 'Introduction to Programming')
('02204111', 'Discrete Mathematics')
('02204121', 'Digital Fundamentals')
('02204122', 'Digital Fundamentals Laboratory')
('02204172', 'Practicum in Programming and Problem')
('02204201', ' Electrical Engineering Fundamentals')
('02204202', 'Electrical Engineering Fundanmentals Lab.')
('02204222', 'Electrical Engineering for Com. Engineer Lab.')
('02204223', 'Electronics Fundamentals')
('02204226', 'Data Communications & Com.Network Systems')
('02204232', 'Data Structure and Algorithmll')
('02204241', 'Computer Architecture')
('02204272', 'Software Development Camp')
('02204281', 'Data Commu. & Com. Network Systems')
('02204282', 'Fundamentals of Electrical Engineering Lab.')
('02204322', 'Embedded System')
('02204352', 'Legal & Ethical Considera.in Informa.Tech.')
('02204385', 'Analog & Digital Control Systems')
('02204399', 'Professional Training')
('02204425', 'Computer Network Design')
('02204428', 'Service Oriented Architectures')
('02204445', 'Web Application Development')
('02204452', 'Management of Information Technology')
('02204454', 'Data Warehouse & Data Mining')
('02204471', 'Computer Graphics')
('02204495', 'Computer & Electronics Engineer.Project I')
('02204497', 'Seminar')
('02204499', 'Computer & Electronics Engineering Project II')
('02206111', 'Engineeeing Material')
('02206213', 'Industrial Work Study')
('02206231', 'Probability & Engineering Statistics')
('02206232', 'Operations Research for Engineers')
('02206233', 'Engineering Economy')
('02206234', 'Quality Control')
('02206322', 'Material Handling')
('02206323', 'Material Handling Systems Design')
('02206324', 'Transportation & Distribution')
('02206325', 'Inventory & Warehouse Management')
('02206337', 'Introduction to Logistics Program')
('02206381', 'Industrial Engineering Laboratory I')
('02206416', 'Tool Engineering')
('02206417', 'Product Design')
('02206442', 'Experimental Design for Engineers')
('02206495', 'Indus.Engineering-Logistics Project Prepara.')
('02206499', 'Industrial Engineering-logistics Project')
('02207321', 'Design of Farm Irrigation Systems')
('02207351', 'Computer Application for Ir-Engineering')
('02207391', 'Irrigation Field Study')
('02207411', 'Drainage and Flood Protection')
('02207421', 'Design of Canal&Conveyance Structures')
('02207422', 'Design of Small Dams & Water Control Strures')
('02207423', 'Design of Pipe & Pressurized Irr. Sys.')
('02207424', 'Water Supply Engineering')
('02207431', 'Feasibility Study & Environment I A.of WRDP.')
('02207441', 'Management of Water Resources Project')
('02207497', 'Seminar')
('02207498', 'Special Problems')
('02207499', 'Irrigation Engineering Project')
('02207511', 'Irrigation Science & Management')
('02207545', 'Flood Forecasting and Warning Systems')
('02207554', 'Remote Sensing in Irrigation Engineering')
('02207591', 'Research Techniques in Irrigation Engineering')
('02207597', 'Seminar')
('02207599', 'Thesis')
('02207697', 'Seminar')
('02207699', 'Thesis')
('02208512', 'Energy Engineering')
('02208558', 'Combustion & Heat Transfer')
('02208596', 'Selected Topics In Mechan.& Energy Engineer.')
('02208597', 'Seminar')
('02208599', 'Thesis')
('02212211', 'Introduction to 3-D Modeling and Analysis')
('02212212', 'Workshop Practice for Food Engineers')
('02212213', 'Basic Electrical Theory&Equip. for Food Eng.')
('02212214', 'Engineering Statistics')
('02212312', 'Physical Properties of Food Materials')
('02212313', 'Principles of Food Engineering')
('02212314', 'Principles of Heat Transfer in Food Industry')
('02212315', 'Unit Operations in Food Engineering I')
('02212322', 'Design of Food Mechinery')
('02212331', 'Manufacturiy procesded for food Machinery')
('02212341', 'Computer Applications in Food Engineering')
('02212371', 'Mechanical Vibrations for Food Engineering')
('02212411', 'Unit Operations in Food Engineering II')
('02212441', 'Auto. Control of Food Manufacturing Process')
('02212442', 'Instrument & Measurement System for Food Pro.')
('02212462', 'Quality Control in Food Industry')
('02212495', 'Food Engineering Project Preparation')
('02212496', 'Selected Topics in Food Engineering')
('02212499', 'Food Engineering Project')
('02212521', 'System Engineering for Food Processing')
('02212543', 'Near Infrared Spectroscopy')
('02212572', 'Statistical Applications for Food Engineering')
('02212597', 'Seminar')
('02212599', 'Thesis')
('02212697', 'Seminar')
('02212699', 'Thesis')
('02301113', 'Fundamental Biochemistry for Sports Science')
('02301115', 'Application Statistics for Sports Science')
('02301122', 'Physiological Basis in Sports Science')
('02301142', 'Team Sport')
('02301143', 'Combative Sports')
('02301147', 'Adventure Sport')
('02301148', 'Aquatic Exercise')
('02301211', 'Ethic in Sport & Exercise Science')
('02301212', 'Basic Aerobic Dance')
('02301213', 'Exercise Activity for Health')
('02301214', 'Yoga for Health')
('02301232', 'Motor Learning')
('02301244', 'Coaching in Team Sport')
('02301281', 'Introduction to Sports Management')
('02301284', 'Intro.Accoun.& Finan.Manag.Sport Organi.')
('02301285', 'Sports Sociology & Olympic Education')
('02301311', 'Sports Science Technology')
('02301316', 'Health Promotion Program for Elderly')
('02301342', 'Weight Training')
('02301351', 'Introduction to Biomechanics in Sport')
('02301363', 'Exercise Precription for Special Populations')
('02301382', 'Sports Facility & Equipment Management')
('02301462', 'Massage for Health and Sport')
('02301482', 'Introduction to Sports Tourism Management')
('02301484', 'Fitness Center Management')
('02301499', 'Practicum in Sports and Exercise Science')
('02301525', 'Advanced Physical Fitness Assessment')
('02301591', 'Research Methods in Sports& Exercise Science')
('02301592', 'Research Stat. in Sports and Exercise Science')
('02301597', 'Seminar')
('02301599', 'Thesis')
('02301622', 'Advanced Cardiopulmonary Execise Physilogy')
('02301697', 'Seminar')
('02301699', 'Thesis')
('02302515', 'Olypic Movement')
('02302592', 'Statistical Analysis in Sport Management')
('02303511', 'Exer.Preven.Rehabi.Metabolic Dis.Cardio.Dis.')
('02303521', 'Anatomy & Human Movement')
('02303591', 'Res.Methods Athletic Train.Movement Science')
('02303592', 'Stat.in Athletic Training & Movement Science')
('02303597', 'Seminar')
('02303599', 'Thesis')
('02701011', 'Thai Usage for Busi,Sci & Tech')
('02708102', 'Literature and Sciences')
('02714101', 'Critical & Creative Thinking')
('02714102', 'Philosophy in Film')
('02717011', 'Self & Self Development')
('02721101', 'Introduction to Business')
('02721121', 'Business Management for Social Sustainability')
('02724012', 'Personality Development')
('02726311', 'Biological Conservation')
('02727101', 'Plant for Better Life')
('02727102', 'Plants and Man')
('02731111', 'Calculus of One Variable')
('02731112', 'Calculus of Several Variables I')
('02731151', 'Discrete Mathematics')
('02731221', 'Linear Algebra')
('02731232', 'Mathematical Modeling')
('02731261', 'Principles of Insurance')
('02731271', 'Graph Theory and Applications')
('02731322', 'Abstract Algebra')
('02731331', 'Partial Differential Equations')
('02731342', 'Probability Theory')
('02731370', 'Graph Theory and Applications')
('02731372', 'Mathematical Packages')
('02731473', 'Special Functions & Applications')
('02731474', 'Coding Theory')
('02731496', 'Selected Topics in Applied Mathematics')
('02731497', 'Seminar')
('02731499', 'Applied Mathematics Project')
('02736543', 'Plant Cell & Tissue Culture')
('02736597', 'Seminar')
('02736599', 'Thesis')
('02738321', 'Plant Bioregulators and Applications')
('02738341', 'Tissue Culture Techniques for Economic Crops')
('02738343', 'Biomass Conversion Technology')
('02738371', 'Drawing for Biology Illustrations')
('02738431', 'Principles of Zoogeography')
('02738432', 'Aquatic Insect Biology')
